"RDB$RELATION_NAME","RDB$FIELD_NAME","CMT"
"ACCOUNT                        ","ID                             ","COMMENT ON COLUMNACCOUNT.ID ID 'X' ; "
"ACCOUNT                        ","TYPEID                         ","COMMENT ON COLUMNACCOUNT.TYPEID ID 'X' ; "
"ACCOUNTGROUP                   ","ID                             ","COMMENT ON COLUMNACCOUNTGROUP.ID ID 'X' ; "
"ACCOUNTGROUP                   ","NAME                           ","COMMENT ON COLUMNACCOUNTGROUP.NAME ID 'X' ; "
"ACCOUNTGROUPRELATION           ","ID                             ","COMMENT ON COLUMNACCOUNTGROUPRELATION.ID ID 'X' ; "
"ACCOUNTGROUPRELATION           ","GROUPID                        ","COMMENT ON COLUMNACCOUNTGROUPRELATION.GROUPID ID 'X' ; "
"ACCOUNTGROUPRELATION           ","ACCOUNTID                      ","COMMENT ON COLUMNACCOUNTGROUPRELATION.ACCOUNTID ID 'X' ; "
"ACCOUNTTYPE                    ","ID                             ","COMMENT ON COLUMNACCOUNTTYPE.ID ID 'X' ; "
"ACCOUNTTYPE                    ","NAME                           ","COMMENT ON COLUMNACCOUNTTYPE.NAME ID 'X' ; "
"ADDRESS                        ","ID                             ","COMMENT ON COLUMNADDRESS.ID ID 'X' ; "
"ADDRESS                        ","ACCOUNTID                      ","COMMENT ON COLUMNADDRESS.ACCOUNTID ID 'X' ; "
"ADDRESS                        ","TYPEID                         ","COMMENT ON COLUMNADDRESS.TYPEID ID 'X' ; "
"ADDRESS                        ","NAME                           ","COMMENT ON COLUMNADDRESS.NAME ID 'X' ; "
"ADDRESS                        ","ADDRESS                        ","COMMENT ON COLUMNADDRESS.ADDRESS ID 'X' ; "
"ADDRESS                        ","CITY                           ","COMMENT ON COLUMNADDRESS.CITY ID 'X' ; "
"ADDRESS                        ","STATEID                        ","COMMENT ON COLUMNADDRESS.STATEID ID 'X' ; "
"ADDRESS                        ","ZIP                            ","COMMENT ON COLUMNADDRESS.ZIP ID 'X' ; "
"ADDRESS                        ","COUNTRYID                      ","COMMENT ON COLUMNADDRESS.COUNTRYID ID 'X' ; "
"ADDRESS                        ","DEFAULTFLAG                    ","COMMENT ON COLUMNADDRESS.DEFAULTFLAG ID 'X' ; "
"ADDRESS                        ","RESIDENTIALFLAG                ","COMMENT ON COLUMNADDRESS.RESIDENTIALFLAG ID 'X' ; "
"ADDRESS                        ","ADDRESSNAME                    ","COMMENT ON COLUMNADDRESS.ADDRESSNAME ID 'X' ; "
"ADDRESS                        ","LOCATIONGROUPID                ","COMMENT ON COLUMNADDRESS.LOCATIONGROUPID ID 'X' ; "
"ADDRESS                        ","PIPELINECONTACTNUM             ","COMMENT ON COLUMNADDRESS.PIPELINECONTACTNUM ID 'X' ; "
"ADDRESSTYPE                    ","ID                             ","COMMENT ON COLUMNADDRESSTYPE.ID ID 'X' ; "
"ADDRESSTYPE                    ","NAME                           ","COMMENT ON COLUMNADDRESSTYPE.NAME ID 'X' ; "
"ASACCOUNT                      ","ID                             ","COMMENT ON COLUMNASACCOUNT.ID ID 'X' ; "
"ASACCOUNT                      ","NAME                           ","COMMENT ON COLUMNASACCOUNT.NAME ID 'X' ; "
"ASACCOUNT                      ","TYPEID                         ","COMMENT ON COLUMNASACCOUNT.TYPEID ID 'X' ; "
"ASACCOUNT                      ","DATECREATED                    ","COMMENT ON COLUMNASACCOUNT.DATECREATED ID 'X' ; "
"ASACCOUNT                      ","DATELASTMODIFIED               ","COMMENT ON COLUMNASACCOUNT.DATELASTMODIFIED ID 'X' ; "
"ASACCOUNT                      ","ACCOUNTINGID                   ","COMMENT ON COLUMNASACCOUNT.ACCOUNTINGID ID 'X' ; "
"ASACCOUNT                      ","ACCOUNTINGHASH                 ","COMMENT ON COLUMNASACCOUNT.ACCOUNTINGHASH ID 'X' ; "
"ASACCOUNT                      ","ACTIVEFLAG                     ","COMMENT ON COLUMNASACCOUNT.ACTIVEFLAG ID 'X' ; "
"ASACCOUNT                      ","ACCOUNTNUMBER                  ","COMMENT ON COLUMNASACCOUNT.ACCOUNTNUMBER ID 'X' ; "
"ASACCOUNTTYPE                  ","ID                             ","COMMENT ON COLUMNASACCOUNTTYPE.ID ID 'X' ; "
"ASACCOUNTTYPE                  ","NAME                           ","COMMENT ON COLUMNASACCOUNTTYPE.NAME ID 'X' ; "
"ASSOCPRICE                     ","ID                             ","COMMENT ON COLUMNASSOCPRICE.ID ID 'X' ; "
"ASSOCPRICE                     ","PRODUCTID                      ","COMMENT ON COLUMNASSOCPRICE.PRODUCTID ID 'X' ; "
"ASSOCPRICE                     ","ASSOCPRICETYPEID               ","COMMENT ON COLUMNASSOCPRICE.ASSOCPRICETYPEID ID 'X' ; "
"ASSOCPRICE                     ","PRICE                          ","COMMENT ON COLUMNASSOCPRICE.PRICE ID 'X' ; "
"ASSOCPRICETYPE                 ","ID                             ","COMMENT ON COLUMNASSOCPRICETYPE.ID ID 'X' ; "
"ASSOCPRICETYPE                 ","NAME                           ","COMMENT ON COLUMNASSOCPRICETYPE.NAME ID 'X' ; "
"ASSOCPRICETYPE                 ","DESCRIPTION                    ","COMMENT ON COLUMNASSOCPRICETYPE.DESCRIPTION ID 'X' ; "
"ASSOCPRICETYPE                 ","ACCOUNTID                      ","COMMENT ON COLUMNASSOCPRICETYPE.ACCOUNTID ID 'X' ; "
"ASSOCPRICETYPE                 ","TAXABLEFLAG                    ","COMMENT ON COLUMNASSOCPRICETYPE.TAXABLEFLAG ID 'X' ; "
"BOM                            ","ID                             ","COMMENT ON COLUMNBOM.ID ID 'X' ; "
"BOM                            ","NUM                            ","COMMENT ON COLUMNBOM.NUM ID 'X' ; "
"BOM                            ","DESCRIPTION                    ","COMMENT ON COLUMNBOM.DESCRIPTION ID 'X' ; "
"BOM                            ","TYPEID                         ","COMMENT ON COLUMNBOM.TYPEID ID 'X' ; "
"BOM                            ","REVISION                       ","COMMENT ON COLUMNBOM.REVISION ID 'X' ; "
"BOM                            ","URL                            ","COMMENT ON COLUMNBOM.URL ID 'X' ; "
"BOM                            ","NOTE                           ","COMMENT ON COLUMNBOM.NOTE ID 'X' ; "
